Date,lon,lat
2008-05-23,-146.9627,32.5488
2008-05-23,-147.2988,32.5205
2008-05-23,-152.6133,31.5611
2008-05-23,-153.5200,29.4539
2008-05-23,-155.6586,18.8899
2008-05-23,-155.7009,18.9173
2008-05-23,-155.7185,18.9533
2008-05-23,-155.9801,18.1587
2008-05-23,-155.1751,19.2407
2008-05-23,-154.3368,19.6952
2008-05-23,-154.4350,19.8499
2008-05-23,-154.6866,19.9206
2008-05-23,-155.4457,19.0713
2008-05-23,-155.5729,19.0051
2008-05-23,-156.0870,19.3403
2008-05-23,-155.9993,19.8962
2008-05-23,-156.0478,19.2901
2008-05-23,-160.5405,21.6509
2008-05-30,-160.5483,21.6499
2008-05-30,-160.8771,22.0117
2008-05-30,-160.9692,22.0984
2008-05-30,-161.9107,22.9567
2008-05-30,-164.4812,23.5707
2008-05-30,-165.4097,30.1206
2008-05-30,-165.4256,30.9890
2008-05-30,-165.4000,32.0113
2008-05-30,-165.9140,32.2366
2008-05-30,-167.5915,33.0283
2008-05-30,-167.9233,33.0118
2008-05-30,-168.1356,33.0136
2008-05-30,-170.0683,32.8404
2008-05-30,-169.6959,32.5552
2008-05-30,-167.9920,32.2592
2008-05-30,-165.8103,32.5498
2008-05-30,-166.1064,32.4721
2008-05-30,-164.9998,33.2827
2008-05-30,-162.7216,33.7558
2008-05-31,-160.4152,33.7601
2008-05-31,-157.8488,34.5145
2008-05-31,-157.5585,36.1594
2008-05-31,-147.6655,35.6912
2008-05-31,-132.5730,35.8771
2008-05-31,-138.5103,35.7633
2008-06-02,-138.7748,35.7626
2008-08-18,-139.3993,35.8875
2008-08-18,-139.8182,35.9653
2008-08-18,-140.3313,36.0408
2008-08-18,-140.7946,36.0830
2008-08-18,-140.8203,35.8409
2008-08-18,-141.0245,35.3814
2008-08-18,-141.4513,35.0049
2008-08-18,-141.7822,35.9064
2008-08-18,-142.0756,34.6790
2008-08-18,-128.1097,25.1070
2008-08-18,-128.3530,24.2205
2008-08-18,-130.3722,23.5677
2008-08-18,-146.3870,24.6048
2008-08-18,-146.4777,24.5445
2008-08-18,-146.6687,24.4147
2008-08-18,-146.7665,24.3578
2008-08-19,-160.4192,23.5670
2008-08-19,-162.0480,29.3010
2008-08-19,-162.6273,29.7710
2008-08-19,-163.2292,30.5422
2008-08-19,-163.9940,31.3098
2008-08-19,-164.2543,31.6068
2008-08-19,-165.2378,32.7388
2008-08-19,-169.1825,34.3688
2008-08-19,-170.0190,34.3877
2008-08-19,-171.6350,35.0628
2008-08-19,-171.7438,35.0020
2008-08-19,-171.8237,34.9987
2008-08-19,-171.9347,35.0003
2008-08-19,-172.9510,34.5922
2008-08-19,-176.3967,34.5387
2008-08-19,-176.4423,34.4852
2008-08-19,-176.4583,34.4678
2008-08-19,-176.4782,34.4452
2008-08-19,-176.4903,34.4268
2008-08-19,-179.9885,34.0135
2008-08-19,-179.9942,34.0515
2008-08-19,-179.9897,34.1497
2008-08-19,-179.9880,34.1563
2008-08-21,-179.8580,34.5053
2008-08-21,-179.9312,35.0950
2008-08-21,-179.8930,35.3822
2008-08-21,-179.8732,35.4108
2008-08-21,-179.5880,36.0995
2008-08-21,-179.3530,36.4778
2008-08-21,-179.3768,37.8532
2008-08-21,-179.7523,39.2955
2008-08-21,-179.7445,39.3125
2008-08-21,-178.9072,40.3088
2008-08-21,-178.7088,40.4920
2008-08-21,-158.9848,25.6292
2008-08-21,-160.3058,28.0083
2008-08-21,-160.3025,26.6528
2008-08-21,-160.2433,31.1583
2008-08-21,-160.1013,31.1510
2008-08-21,-159.9790,31.1502
